Sex,Age,Frequency,Percentile90,Percentile75,Percentile50,Percentile25,Percentile10
Female,20,250,-4,-2,0,4,7
Female,30,250,-6,-3,0,5,8
Female,40,250,-6,-2,1,5,8
Female,50,250,-4,-1,3,7,10
Female,60,250,-1,2,6,11,15
Female,70,250,2,6,10,16,22
Female,80,250,5,10,16,25,34
Female,20,500,-5,-2,0,4,7
Female,30,500,-6,-3,0,4,8
Female,40,500,-5,-2,1,5,8
Female,50,500,-3,0,3,7,11
Female,60,500,0,3,6,12,16
Female,70,500,3,7,12,18,24
Female,80,500,6,12,19,27,35
Female,20,1000,-5,-3,0,3,7
Female,30,1000,-6,-3,0,4,8
Female,40,1000,-5,-2,1,5,8
Female,50,1000,-3,0,4,8,12
Female,60,1000,1,4,8,13,19
Female,70,1000,5,9,14,22,28
Female,80,1000,11,17,24,32,40
Female,20,2000,-5,-3,0,3,6
Female,30,2000,-6,-3,0,4,7
Female,40,2000,-5,-2,2,5,9
Female,50,2000,-2,1,5,10,14
Female,60,2000,2,6,10,17,24
Female,70,2000,7,13,19,28,35
Female,80,2000,17,24,32,41,49
Female,20,3000,-6,-3,0,3,7
Female,30,3000,-7,-3,0,4,8
Female,40,3000,-4,-1,2,6,10
Female,50,3000,-1,2,6,12,17
Female,60,3000,3,8,13,21,28
Female,70,3000,10,16,23,33,41
Female,80,3000,22,30,38,48,57
Female,20,4000,-6,-3,0,4,7
Female,30,4000,-7,-3,1,5,8
Female,40,4000,-4,-1,3,7,11
Female,50,4000,-1,3,7,14,19
Female,60,4000,4,9,15,24,32
Female,70,4000,12,19,27,37,46
Female,80,4000,27,35,43,53,62
Female,20,6000,-6,-3,0,4,8
Female,30,6000,-7,-3,1,6,10
Female,40,6000,-4,-1,4,9,14
Female,50,6000,-1,4,10,17,24
Female,60,6000,5,12,19,30,39
Female,70,6000,15,24,33,45,56
Female,80,6000,35,43,52,62,72
Female,20,8000,-6,-3,0,5,9
Female,30,8000,-7,-3,1,7,11
Female,40,8000,-4,0,5,11,17
Female,50,8000,0,6,12,21,29
Female,60,8000,6,14,23,35,45
Female,70,8000,18,28,39,52,63
Female,80,8000,40,49,60,70,80
Male,20,250,-5,-2,0,4,8
Male,30,250,-5,-3,0,4,8
Male,40,250,-5,-2,1,3,6
Male,50,250,-4,-1,3,5,8
Male,60,250,-2,2,5,10,14
Male,70,250,3,6,10,16,22
Male,80,250,10,13,17,24,32
Male,20,500,-5,-3,0,4,8
Male,30,500,-5,-3,0,4,8
Male,40,500,-5,-2,1,4,6
Male,50,500,-4,-1,3,6,10
Male,60,500,-2,2,6,11,16
Male,70,500,3,6,10,17,23
Male,80,500,8,12,16,24,32
Male,20,1000,-6,-3,0,4,7
Male,30,1000,-6,-3,0,4,8
Male,40,1000,-4,-1,2,5,8
Male,50,1000,-3,0,4,9,13
Male,60,1000,-1,3,8,15,21
Male,70,1000,4,8,13,22,29
Male,80,1000,11,15,21,29,37
Male,20,2000,-6,-3,0,3,7
Male,30,2000,-6,-3,1,4,8
Male,40,2000,-3,0,3,7,11
Male,50,2000,-1,2,6,13,19
Male,60,2000,2,7,12,22,30
Male,70,2000,8,14,21,31,39
Male,80,2000,18,24,32,40,47
Male,20,3000,-6,-3,0,3,7
Male,30,3000,-6,-3,1,5,8
Male,40,3000,3,0,4,9,13
Male,50,3000,0,4,9,17,24
Male,60,3000,5,10,17,27,37
Male,70,3000,12,19,27,38,48
Male,80,3000,25,33,41,47,53
Male,20,4000,-6,-3,0,4,7
Male,30,4000,-6,-2,1,5,9
Male,40,4000,-2,1,4,10,15
Male,50,4000,2,6,11,20,28
Male,60,4000,7,13,20,32,43
Male,70,4000,16,24,33,45,55
Male,80,4000,32,40,50,55,59
Male,20,6000,-6,-3,0,4,8
Male,30,6000,-6,-2,1,6,11
Male,40,6000,-2,2,6,13,19
Male,50,6000,3,8,14,25,35
Male,60,6000,10,18,26,40,53
Male,70,6000,22,32,43,55,66
Male,80,6000,43,53,64,66,69
Male,20,8000,-6,-3,0,5,9
Male,30,8000,-6,-2,2,7,12
Male,40,8000,-2,2,7,15,22
Male,50,8000,4,10,16,29,40
Male,60,8000,13,21,30,46,60
Male,70,8000,26,37,50,63,74
Male,80,8000,44,59,75,76,77
